id,name,text,summary,score
3153,Lynn,"We've had an aquarium for about 40 years now and once had a spotted silver dollar that lived almost 18 years.  Anyway, I recently added 5 male dwarf neon rainbows to the tank. They're supposed to eat flake food. After a couple weeks of seeing them snub the flake food, I decided to try freeze dried brine shrimp. They love these & frozen bloodworms too; they're still snubbing flake food. I was told that I could get this food to stick to the side of the aquarium, but haven't been successful. I break off a small amount of the shrimp & add them to the aquarium slowly. Otherwise there's too much food floating around, dropping into the gravel. For the most part, these freeze dried shrimp retain their original shape.The dwarf neon rainbows, German blue ram cichlids, & cories like this freeze dried brine shrimp. I haven't noticed our spotted silver dollar eating any; she prefers shrimp pellets. Our fire shrimp eat the brine shrimp too, but prefer shrimp pellets.Freeze dried brine shrimp are recommended for all freshwater & saltwater fish. There is a sticker with a 'Use By' date on the bottom of my container. By the way, I paid a lot more at my local fish store for this item which currently is priced @ $2.99 for 1.6 oz  with $2 shipping on Amazon.UPDATE:I recently purchased Omega One Freeze Dried Brine Shrimp at a local pet store. In my opinion San Francisco Bay Brand Freeze Dried Brine Shrimp is a superior product. I paid more for the Omega One brand too. In the future, I will purchase this product on Amazon.",A fish favorite,5
3154,janie,"Our four cats LOVE these and that includes the one who never used to eat treats of any kind until I bought these.  Now, she actually follows me around when I have the bag in my hand hoping to get second, third and fourth helpings.  I love the fact that these are 100% real USDA chicken and only one calorie per treat.  The only down side to these treats is that because they are freeze-dried, they are rather fragile.  I usually end up with a lot of very small pieces at the bottom of the bag but no worries, I just sprinkle the small pieces on top of their food.  They love these treats and that makes me happy!",Will definitely purchase again!,5
3155,"""Sayi \""Isay\""""","Before I would purchase Marshalls probiotics, but once it wasn't in Stock when I needed it, so I looked around and I saw this! It's lasted me quite a while and its very helpful to my rabbit's well being. also it's a well known brand so I do trust it. when I received at the expiration date was far in advanced, so I don't have to worry about it expiring before I get to use it all. plus it comes with a really tiny 1/4 Tbs scooper.",probiotics for my bunny.,5
3156,Tina,"5 stars for the food! My cat love the food but I am so disappointed that Amazon doesn't keep it in stock. I mean, come on Amazon! You do awesome at every thing else. Please try to do better about keeping this food in stock! You would make more money by keeping it in stock and actually selling it then letting the shelf go bare and people going away and finding better, possibly cheaper sources to buy this food from. I know I had to drive 45 miles each way last time to get my cat food and luckily I had a $10 coupon, I only paid $26.99 a bag and I bought 2 bags. I guess I'm off to searching for a more reliable place to get cat food from. I don't want to drive 45 miles each way twice a month. I have 16 cats. This bag lasts me a week. I need a reliable source that won't rape my wallet.",Food is great! I just wish Amazon would keep it in stock.,5
3157,Mkhmn,"I bought this for my Golden Retriever, thinking he would be able to play and snuggle with the toy.  I like the Tuffy toys as they are hard for him to tear apart.When this came I was shocked by how big this horse actually is.  He couldn't carry it around - it weighed a lot as well.  It is also not at all soft, but very packed and hard.  If it squeaked I couldn't get it to.I returned the toy.  It is not a bad toy for a huge dog but was not at all what I wanted.",Really BIG,4
3158,"""R. Guieb \""Rosiebud320\""""","I bought a small bottle of this at the local pet store at the recommendation of the sales clerk who gives it to her two Pit Bulls. I found it on Amazon (larger bottle) for a lot cheaper than I could get it local so I bought a pretty large bottle.  I give my dog one pump of Salmon oil in his breakfast and one in his dinner (he eats twice a day with treats in-between) he goes wild for this Salmon oil, now I dont think he would eat his food without it.  We actually tried this theory while on vacation for two weeks and he seemed pissed the oil wasnt on his food a few times...so he really enjoys the taste.  My dogs coat is soft and silky with this Salamon oil and it keeps his skin problems down to a min.  He seems to have some allergies but this oil has helped those too.  Great stuff that my dog enjoys in his food...you cant go wrong!",My American Staffordshire Terrier loves this oil,5
3159,Ann,"My cat started scratching on the scratch pad almost as soon as I removed it from the shipping box, it comes with catnip chips, but I used catnip spray insteadNote: my cat started scratching on the pad even before I applied the extra catnip, so it's pretty clear that this product is worth buying if your like me & you are looking for a cheap alternative to those expensive cat scratcher's this will do the trick. you may want to consider buying more then one so you can distribute them around your home to slow kitty from scratching the furniture, I plan to purchase a couple more hopefully soon their great.",My cat seems to like it he used it right away,4
3160,Namaste,The sticks vary in thickness and there is no consistency in the sizes. Good for something for the moment if you can't find better quality sticks. Has stinky odor but what do you expect?,Thin bullysticks,3
3161,Lex M,she chewed it for a couple of minutes and has not returned to it...i still would recommend this brand but not this item,usually my boxer loves this brand,3
3162,Kathy L.,"We bought 3 - we have 3 cats & 1 large dog, & I like to buy food in bulk so we don't feel like we are always running to the store.  These look good & are easy to stack & substantial.  I am glad I ordered them!",We love these!,5
3163,Jaclyn,I bought this after recieving an antler cross-section in my BarkBox. I think my dog prefers the cross-section because the marrow is exposed and it's a bit softer to chew on.,My dogs prefer the cross-sections,3
